label	runs	cpu_mean	cpu_std	cpu_min	wall_mean	wall_min	peak_mb	findings	digest	load1
base-wazero/git	3	86.24	0.05	86.17	4.362	4.324	2174	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	8.35
base-wazero/cpython	3	369.21	0.09	369.09	56.828	56.765	4927	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	8.92
base-wazero/gitlab-foss	3	1374.50	0.38	1374.00	52.727	51.662	8402	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	50.45
base-cgo/git	3	84.10	0.13	83.91	4.110	4.074	2254	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	20.90
base-cgo/cpython	3	362.30	0.33	361.98	56.751	56.741	4829	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	6.99
base-cgo/gitlab-foss	3	1319.67	1.42	1318.48	49.734	49.548	7986	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	41.58
re2set-wazero/git	3	397.91	8.80	385.54	14.543	13.997	2340	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	28.41
re2set-wazero/cpython	3	476.41	27.69	453.07	79.924	79.094	4890	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	6.24
re2set-wazero/gitlab-foss	3	4450.36	445.22	4048.59	153.677	143.677	9085	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.80
re2set-cgo/git	3	86.49	0.30	86.09	4.195	4.123	2148	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	21.51
re2set-cgo/cpython	3	381.13	0.13	380.98	65.774	65.730	4800	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	8.07
re2set-cgo/gitlab-foss	3	1366.75	1.75	1365.17	50.743	50.466	8053	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.62
trigram-wazero/git	3	83.84	0.23	83.53	4.219	4.138	2051	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	16.85
trigram-wazero/cpython	3	377.26	0.08	377.16	64.089	64.056	4869	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	7.49
trigram-wazero/gitlab-foss	3	1354.47	1.34	1352.74	52.106	51.891	8319	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	41.59
trigram2-wazero/git	3	83.96	0.02	83.94	4.198	4.128	2152	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	9.56
trigram2-wazero/cpython	3	376.43	0.17	376.27	63.664	63.557	4928	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	8.11
trigram2-wazero/gitlab-foss	3	1355.22	1.79	1353.31	51.601	51.453	8251	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	40.35
trigram2-cgo/git	3	81.98	0.11	81.83	4.060	4.023	2124	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	14.98
trigram3-wazero/git	3	83.97	0.29	83.61	5.850	4.332	2116	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	21.56
trigram2-cgo/cpython	3	327.22	1.00	326.41	47.862	43.389	4806	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	33.93
trigram3-wazero/cpython	3	333.83	0.43	333.29	42.445	42.187	4884	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	13.87
trigram2-cgo/gitlab-foss	3	1312.07	1.85	1309.90	90.374	89.741	8073	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	78.42
trigram3-wazero/gitlab-foss	3	1363.54	0.74	1362.50	90.654	90.472	8324	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	72.22
trigram3-cgo/git	3	82.10	0.24	81.81	4.013	3.979	2178	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	16.98
trigram3-cgo/cpython	3	326.74	0.23	326.51	42.397	42.155	4821	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	9.86
trigram3-cgo/gitlab-foss	3	1296.94	0.79	1295.94	49.845	48.813	7866	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	44.15
chunked-ahoc-wazero/git	3	84.57	0.20	84.28	4.208	4.126	2033	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	14.08
chunked-ahoc-wazero/cpython	3	322.79	0.16	322.56	35.844	35.677	4924	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	13.88
chunked-ahoc-wazero/gitlab-foss	3	1361.71	0.76	1360.97	52.855	52.065	8230	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	40.99
trigram4-wazero/git	3	84.72	0.13	84.60	4.220	4.135	1979	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	10.89
trigram4-wazero/cpython	3	335.60	0.20	335.44	42.528	42.362	4911	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	10.95
trigram4-wazero/gitlab-foss	3	1358.79	0.68	1358.00	52.232	52.037	8183	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.67
trigram4-cgo/git	3	82.73	0.09	82.61	4.062	3.981	2236	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	18.07
trigram4-cgo/cpython	3	328.06	0.20	327.79	42.089	41.807	4808	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	15.03
trigram4-cgo/gitlab-foss	3	1303.35	1.50	1301.29	50.585	50.121	7970	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.83
trigram5-wazero/git	3	84.17	0.16	83.98	4.314	4.280	2101	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	10.82
trigram5-wazero/cpython	3	334.00	0.30	333.71	42.551	42.201	4870	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	14.14
trigram5-wazero/gitlab-foss	3	1355.30	1.31	1353.66	53.566	53.268	8232	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	46.08
trigram5-cgo/git	3	82.18	0.10	82.05	4.233	4.185	2232	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	19.28
trigram5-cgo/cpython	3	327.52	0.20	327.32	42.330	42.266	4843	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	13.75
trigram5-cgo/gitlab-foss	3	1300.72	1.71	1298.87	51.775	51.687	7960	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.32
trigram6-wazero/git	3	84.24	0.33	83.88	4.391	4.337	2146	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	7.46
trigram6-wazero/cpython	3	321.46	0.31	321.06	36.623	36.428	4884	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	17.35
trigram6-wazero/gitlab-foss	3	1351.05	1.62	1349.79	56.289	53.801	8326	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	45.03
trigram6-cgo/git	3	82.42	0.11	82.30	4.218	4.179	2336	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	19.94
trigram6-cgo/cpython	3	314.55	0.24	314.25	36.224	35.938	4842	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	14.86
trigram6-cgo/gitlab-foss	3	1296.89	1.33	1295.06	51.770	51.465	7903	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.80
trigram7-wazero/git	3	84.42	0.12	84.27	4.147	4.076	2290	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	7.30
trigram7-wazero/cpython	3	321.54	0.14	321.37	35.657	35.571	4918	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	11.30
trigram7-wazero/gitlab-foss	3	1348.92	1.43	1347.77	52.149	51.668	8319	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	46.90
trigram7-cgo/git	3	82.16	0.18	81.91	6.024	5.990	2121	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	32.78
trigram8-wazero/git	3	84.03	0.12	83.91	5.997	5.937	2186	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	32.78
trigram7-cgo/cpython	3	311.19	0.33	310.79	40.985	40.555	4836	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	32.42
trigram8-wazero/cpython	3	317.84	0.24	317.50	41.167	40.891	4798	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	32.42
trigram7-cgo/gitlab-foss	3	1305.33	1.92	1302.96	91.762	90.108	8158	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	82.45
trigram8-wazero/gitlab-foss	3	1357.96	1.45	1355.97	92.536	90.847	8437	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	76.09
trigram8-cgo/git	3	82.38	0.07	82.30	4.112	4.072	2173	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	16.65
trigram8-cgo/cpython	3	309.42	0.30	309.00	33.115	32.924	4848	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	12.17
trigram8-cgo/gitlab-foss	3	1292.10	0.94	1290.87	49.145	48.577	7912	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.84
final-ahoc-wazero/git	3	85.21	0.24	84.98	4.209	4.174	2133	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	20.64
final-ahoc-wazero/cpython	3	310.63	0.06	310.58	29.357	29.254	4918	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	15.23
final-ahoc-wazero/gitlab-foss	3	1361.75	1.35	1360.15	51.660	51.215	8151	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	40.13
window-wazero/git	3	84.45	0.16	84.28	4.200	4.137	2082	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	13.24
window-wazero/cpython	3	316.41	0.12	316.24	33.693	33.668	4910	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	14.77
window-wazero/gitlab-foss	3	1346.09	0.34	1345.61	52.670	50.969	8228	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.41
window-cgo/git	3	82.63	0.27	82.26	4.149	4.073	2266	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	16.70
window2-wazero/git	3	84.65	0.10	84.52	4.369	4.275	2054	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	22.09
window-cgo/cpython	3	310.66	0.11	310.58	33.302	33.049	4816	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	14.64
window2-wazero/cpython	3	319.53	0.85	318.34	44.961	42.943	4854	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	55.10
window-cgo/gitlab-foss	3	1295.69	1.43	1294.13	56.179	49.566	8045	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	46.29
window2-wazero/gitlab-foss	3	1338.27	3.18	1334.20	51.709	49.814	8198	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	42.98
window2-cgo/git	3	82.54	0.11	82.40	4.092	4.026	2190	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	15.68
window2-cgo/cpython	3	310.44	0.06	310.38	33.955	33.103	4827	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	14.30
window2-cgo/gitlab-foss	3	1296.55	0.27	1296.24	48.930	48.359	7859	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	43.75
window2-ahoc-wazero/git	3	85.14	0.07	85.06	4.418	4.379	2093	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	5.42
window2-ahoc-wazero/cpython	3	312.44	0.92	311.46	35.176	29.397	4886	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	36.45
FINAL-base-wazero/git	4	85.47	0.21	85.21	4.552	4.487	1989	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	9.49
FINAL-base-wazero/cpython	4	366.11	0.46	365.59	57.693	57.474	4923	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	11.66
FINAL-base-wazero/gitlab-foss	4	1369.93	1.46	1368.87	55.265	52.762	8235	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	51.37
FINAL-base-cgo/git	4	83.09	0.31	82.69	4.295	4.227	2284	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	25.03
FINAL-base-cgo/cpython	4	359.54	0.47	358.95	57.316	57.222	4845	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	9.27
FINAL-base-cgo/gitlab-foss	4	1315.63	1.25	1314.23	50.376	50.136	7947	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	45.27
FINAL-lab-wazero/git	4	84.52	0.23	84.20	4.328	4.275	2049	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	23.66
FINAL-lab-wazero/cpython	4	316.90	0.35	316.66	34.545	34.379	4899	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	17.27
FINAL-lab-wazero/gitlab-foss	4	1342.51	1.00	1341.57	53.259	52.961	8125	4709	a2a180faddd8bdb0a6f55aeaf7775bd6dcc1a8b1d73d7516a7fd2d72cd6dee4a	49.08
FINAL-lab-cgo/git	4	82.73	0.17	82.53	4.350	4.333	2382	15	cbbf7d1aa3f8fccd598524c7b1e0c8fdc1daec3d73432ab2017eb0ce5908aeab	25.00
FINAL-lab-cgo/cpython	4	311.27	0.39	310.68	34.299	34.158	4852	60	82a6ff1537317e063f2398f5eec12a8ae13018634b9a5fcb2a8c25ec86e38fcf	16.52
